player_name,tournament_sheet,unique_heroes_used,total_usage,diversity_ratio
Lukemino,Pre-Season Bootcamp,3,5,0.6
Shy,Pre-Season Bootcamp,3,6,0.5
Unkn0w,China - Stage 1,3,15,0.2
Viper,Pre-Season Bootcamp,3,4,0.75
brysonbtw,Pacific - Stage 1,3,26,0.1154
crispy,EMEA - Stage 1,3,20,0.15
eisgnom,Pre-Season Bootcamp,3,11,0.2727
Akraken,Pacific - Stage 1,2,5,0.4
BABYAGA,China - Stage 1,2,4,0.5
Renaco,Pacific - Stage 1,2,4,0.5
Saya,China - Stage 1,2,13,0.1538
Ade,Non-Partner Team Index,1,6,0.1667
Alphari,Partner Team Index,1,6,0.1667
Argon,Non-Partner Team Index,1,10,0.1
CH0R0NG,Partner Team Index,1,8,0.125
Cjay,Partner Team Index,1,8,0.125
D4IJIN,Non-Partner Team Index,1,12,0.0833
Dip,Partner Team Index,1,6,0.1667
Ezhan,Partner Team Index,1,6,0.1667
Ezrai,Non-Partner Team Index,1,12,0.0833
FDGod,Partner Team Index,1,6,0.1667
Faith,Non-Partner Team Index,1,10,0.1
Galaa,Non-Partner Team Index,1,6,0.1667
Grapes,Non-Partner Team Index,1,4,0.25
HRY,Non-Partner Team Index,1,12,0.0833
HeeSang,Partner Team Index,1,8,0.125
ICHI,Non-Partner Team Index,1,12,0.0833
Kellan,Partner Team Index,1,8,0.125
Kronik,Partner Team Index,1,8,0.125
Lengsa,Partner Team Index,1,6,0.1667
Lengsa,Pre-Season Bootcamp,1,3,0.3333
LiGe,Partner Team Index,1,6,0.1667
Limbo,Non-Partner Team Index,1,10,0.1
Lukemino,Partner Team Index,1,8,0.125
MAX,Partner Team Index,1,8,0.125
PKFishy,Non-Partner Team Index,1,12,0.0833
Pugz,Non-Partner Team Index,1,12,0.0833
Recall,Partner Team Index,1,6,0.1667
Regr3t,Non-Partner Team Index,1,12,0.0833
Ryan,Non-Partner Team Index,1,4,0.25
SINCE,Non-Partner Team Index,1,10,0.1
SORI,Non-Partner Team Index,1,12,0.0833
STALK3R,Partner Team Index,1,8,0.125
Saya,Non-Partner Team Index,1,10,0.1
Scorch,Non-Partner Team Index,1,12,0.0833
Seonjun,Partner Team Index,1,8,0.125
SeungAn,Non-Partner Team Index,1,10,0.1
SirMajed,Non-Partner Team Index,1,6,0.1667
Supreme,Non-Partner Team Index,1,12,0.0833
Taejong,Non-Partner Team Index,1,6,0.1667
Vestola,Non-Partner Team Index,1,6,0.1667
Vigilante,Partner Team Index,1,8,0.125
Wangming,Non-Partner Team Index,1,10,0.1
Willys,Partner Team Index,1,6,0.1667
WoochaN,Non-Partner Team Index,1,10,0.1
Xerion,Partner Team Index,1,6,0.1667
Yangjun,Korea - Stage 1,1,4,0.25
Zesin,Non-Partner Team Index,1,10,0.1
Zorrow,Partner Team Index,1,6,0.1667
pdk,Non-Partner Team Index,1,4,0.25
scuffed,Non-Partner Team Index,1,4,0.25
skyshow,Non-Partner Team Index,1,10,0.1
smash,Japan - Stage 1,1,3,0.3333
sniper,Non-Partner Team Index,1,4,0.25
