map_name,hero_name,matches_played,wins,losses,win_rate
Esperança,Wrecking Ball,10,6,4,0.6
Esperança,Hazard,12,7,5,0.5833
Esperança,Echo,9,5,4,0.5556
Esperança,Orisa,11,6,5,0.5455
Esperança,Anran,2,1,1,0.5
Esperança,Bastion,8,4,4,0.5
Esperança,Freja,2,1,1,0.5
Esperança,Genji,2,1,1,0.5
Esperança,Pharah,18,9,9,0.5
Esperança,Winston,8,4,4,0.5
Esperança,Emre,55,27,28,0.4909
Esperança,Brigitte,25,12,13,0.48
Esperança,Vendetta,50,24,26,0.48
Esperança,Juno,46,22,24,0.4783
Esperança,Sojourn,58,27,31,0.4655
Esperança,Lúcio,86,40,46,0.4651
Esperança,Kiriko,105,48,57,0.4571
Esperança,D.Va,56,25,31,0.4464
Esperança,Wuyang,7,3,4,0.4286
Esperança,Symmetra,43,18,25,0.4186
Esperança,Jetpack Cat,12,5,7,0.4167
Esperança,Ana,17,7,10,0.4118
Esperança,Tracer,59,24,35,0.4068
Esperança,Baptiste,10,4,6,0.4
Esperança,Mizuki,5,2,3,0.4
Esperança,Zarya,33,13,20,0.3939
Esperança,Cassidy,29,11,18,0.3793
Esperança,Reaper,3,1,2,0.3333
Esperança,Reinhardt,3,1,2,0.3333
Esperança,Mauga,7,2,5,0.2857
Esperança,Mei,7,2,5,0.2857
Esperança,Ashe,1,0,1,0.0
Esperança,Doomfist,7,0,7,0.0
