match_id,tournament_sheet,match_title,event_title,team_top,team_bottom,maps,active_blocks,match_start_row
North America - Stage 1__match_0017,North America - Stage 1,Upper Semifinals [Bo5],Week 4 | Day 1 | Game 2,Spacestation Gaming,Team Liquid,Busan; Blizzard World; Watchpoint: Gibraltar; Suravasa; Runasapi,5,419
North America - Stage 1__match_0018,North America - Stage 1,Lower Semifinals [Bo5],Week 4 | Day 2 | Game 1,LuneX Gaming,Team Liquid,Lijiang Tower; Havana; Runasapi,3,445
North America - Stage 1__match_0019,North America - Stage 1,Upper Finals [Bo5],Week 4 | Day 2 | Game 2,Dallas Fuel,Spacestation Gaming,Busan; Numbani; Watchpoint: Gibraltar; Aatlis; Esperança,5,471
North America - Stage 1__match_0020,North America - Stage 1,Lower Finals [Bo5],Week 4 | Day 3 | Game 1,Spacestation Gaming,Team Liquid,Busan; Blizzard World; Aatlis,3,497
North America - Stage 1__match_0021,North America - Stage 1,Grand Finals [Bo7],Week 4 | Day 3 | Game 2,Dallas Fuel,Spacestation Gaming,Busan; Midtown; Rialto; Suravasa; Esperança,5,523
Pacific - Stage 1__match_0001,Pacific - Stage 1,Round Robin [Bo5],Week 1 | Day 1 | Game 1,Team Secret,Rankers,Busan; Esperança; Rialto,3,3
Pacific - Stage 1__match_0002,Pacific - Stage 1,Round Robin [Bo5],Week 1 | Day 1 | Game 2,MieMieYang,The Gatos Guapos,Lijiang Tower; Suravasa; Rialto,3,29
Pacific - Stage 1__match_0003,Pacific - Stage 1,Round Robin [Bo5],Week 1 | Day 1 | Game 3,FURY,Quasar Esports,Oasis; Suravasa; Midtown; Watchpoint: Gibraltar,4,55
Pacific - Stage 1__match_0004,Pacific - Stage 1,Round Robin [Bo5],Week 2 | Day 1 | Game 1,FURY,The Gatos Guapos,Busan; Watchpoint: Gibraltar; Aatlis,3,81
Pacific - Stage 1__match_0005,Pacific - Stage 1,Round Robin [Bo5],Week 2 | Day 1 | Game 2,Team Secret,MieMieYang,Lijiang Tower; Aatlis; Rialto,3,107
Pacific - Stage 1__match_0006,Pacific - Stage 1,Round Robin [Bo5],Week 2 | Day 1 | Game 3,Quasar Esports,Rankers,Lijiang Tower; Watchpoint: Gibraltar; Esperança; Numbani; Busan,5,133
Pacific - Stage 1__match_0007,Pacific - Stage 1,Round Robin [Bo5],Week 3 | Day 1 | Game 1,FURY,Rankers,Lijiang Tower; Numbani; Esperança,3,159
Pacific - Stage 1__match_0008,Pacific - Stage 1,Round Robin [Bo5],Week 3 | Day 1 | Game 2,The Gatos Guapos,Team Secret,Oasis; Suravasa; Blizzard World,3,185
Pacific - Stage 1__match_0009,Pacific - Stage 1,Round Robin [Bo5],Week 3 | Day 1 | Game 3,MieMieYang,Quasar Esports,Busan; Watchpoint: Gibraltar; Runasapi; Blizzard World,4,211
Pacific - Stage 1__match_0010,Pacific - Stage 1,Round Robin [Bo5],Week 4 | Day 1 | Game 1,Team Secret,FURY,Oasis; Aatlis; Midtown,3,237
Pacific - Stage 1__match_0011,Pacific - Stage 1,Round Robin [Bo5],Week 4 | Day 1 | Game 2,Quasar Esports,The Gatos Guapos,Lijiang Tower; Numbani; Esperança,3,263
Pacific - Stage 1__match_0012,Pacific - Stage 1,Round Robin [Bo5],Week 4 | Day 1 | Game 3,MieMieYang,Rankers,Oasis; Esperança; Rialto; Blizzard World; Lijiang Tower,5,289
Pacific - Stage 1__match_0013,Pacific - Stage 1,Round Robin [Bo5],Week 5 | Day 1 | Game 1,Team Secret,Quasar Esports,Busan; Suravasa; Watchpoint: Gibraltar,3,315
Pacific - Stage 1__match_0014,Pacific - Stage 1,Round Robin [Bo5],Week 5 | Day 1 | Game 2,FURY,MieMieYang,Lijiang Tower; Runasapi; Rialto,3,341
Pacific - Stage 1__match_0015,Pacific - Stage 1,Round Robin [Bo5],Week 5 | Day 1 | Game 3,The Gatos Guapos,Rankers,Busan; Rialto; Aatlis,3,367
Pacific - Stage 1__match_0016,Pacific - Stage 1,Semifinals [Bo5],Week 6 | Day 1 | Game 1,The Gatos Guapos,Quasar Esports,,0,393
Pacific - Stage 1__match_0017,Pacific - Stage 1,Semifinals [Bo5],Week 6 | Day 1 | Game 2,Team Secret,Rankers,,0,419
Stage 1 LAN Maps__match_0001,Stage 1 LAN Maps,,Busan,Times Played,Percent Played,,0,3
Partner Team Index__match_0001,Partner Team Index,,,Dallas Fuel,Dallas Fuel,Lijiang Tower; Lijiang Tower; Lijiang Tower; Lijiang Tower,4,3
Partner Team Index__match_0002,Partner Team Index,,,Team Peps,Team Peps,Lijiang Tower; Lijiang Tower; Lijiang Tower,3,29
Partner Team Index__match_0003,Partner Team Index,,,Crazy Raccoon,Crazy Raccoon,Lijiang Tower; Lijiang Tower; Lijiang Tower; Lijiang Tower,4,55
Partner Team Index__match_0004,Partner Team Index,,,All Gamers,All Gamers,Lijiang Tower; Lijiang Tower; Lijiang Tower,3,81
Non-Partner Team Index__match_0001,Non-Partner Team Index,,,Extinction,Extinction,Lijiang Tower; Lijiang Tower,2,3
Non-Partner Team Index__match_0002,Non-Partner Team Index,,,Al Qadsiah,Al Qadsiah,Lijiang Tower; Lijiang Tower; Lijiang Tower,3,29
Non-Partner Team Index__match_0003,Non-Partner Team Index,,,Cheeseburger,Cheeseburger,Lijiang Tower; Lijiang Tower; Lijiang Tower; Lijiang Tower; Lijiang Tower,5,55
Non-Partner Team Index__match_0004,Non-Partner Team Index,,,99DIVINE,99DIVINE,Lijiang Tower; Lijiang Tower; Lijiang Tower; Lijiang Tower; Lijiang Tower; Lijiang Tower,6,81
Non-Partner Team Index__match_0005,Non-Partner Team Index,,,FURY,FURY,Lijiang Tower; Lijiang Tower; Lijiang Tower; Lijiang Tower; Lijiang Tower; Lijiang Tower,6,107
Non-Partner Team Index__match_0006,Non-Partner Team Index,,,DEG,DEG,Lijiang Tower; Lijiang Tower; Lijiang Tower; Lijiang Tower; Lijiang Tower,5,133
