player_name,team_name,hero_name,usage_count
Sunset,MieMieYang,Sojourn,11
Ackyy,The Gatos Guapos,Kiriko,11
Regr3t,FURY,Emre,11
Beeple,Quasar Esports,Lúcio,11
PGE,Disguised,Sojourn,10
PGE,Disguised,Cassidy,10
Willys,Team Peps,D.Va,10
Cjay,Dallas Fuel,Lúcio,10
Lukemino,Dallas Fuel,Kiriko,10
FiXa,Virtus.pro,Jetpack Cat,10
LIP,Crazy Raccoon,Sojourn,10
Shy,Weibo Gaming,Sojourn,10
Leave,Weibo Gaming,Pharah,10
Hanbin,Team Falcons,Zarya,10
Infekted,Team Liquid,Wrecking Ball,10
ChiYo,Team Falcons,Brigitte,10
Breadturtle,Telomere,Symmetra,10
Heesung,ENTER FORCE.36,Zarya,10
Setsuna,Lazuli,Cassidy,10
SORI,99DIVINE,Cassidy,10
PEPPI,TOKYO TAIYOs,Ramattra,10
D4IJIN,99DIVINE,Juno,10
SLEY,VARREL,Illari,10
Ydot,ENTER FORCE.36,Brigitte,10
ICHI,99DIVINE,Hazard,10
Gur3um,Poker Face,Hazard,10
Becky,ZAN Esports,Symmetra,10
ATTACK,RØDE ONSIDE GAMING,Hazard,10
Eileen,Milk Tea,Vendetta,10
Taimouren,Milk Tea,Symmetra,10
Taimouren,Milk Tea,Cassidy,10
feiyang,Milk Tea,Sigma,10
Unkn0w,Homie E,Lúcio,10
LiGe,All Gamers,Zarya,10
Saya,DEG,Brigitte,10
JAYA,Naive Piggy,Symmetra,10
Littlemoon,SV,Symmetra,10
Ezhan,All Gamers,Tracer,10
Pineapple,JD Gaming,Bastion,10
guxue,Weibo Gaming,Mauga,10
Ezhan,All Gamers,Bastion,10
ZIYAD,Geekay Esports,D.Va,10
Taejong,Al Qadsiah,Pharah,10
Lukemino,Dallas Fuel,Lúcio,10
Cjay,Dallas Fuel,Juno,10
xomba,LuneX Gaming,Vendetta,10
pdk,Extinction,Sojourn,10
Admiral,Spacestation Gaming,Brigitte,10
Kronik,Dallas Fuel,Cassidy,10
xomba,LuneX Gaming,Symmetra,10
Hyvision,Team Secret,Emre,10
Yoshinori2k,Team Secret,Symmetra,10
Zephyr,Rankers,Tracer,10
FEI,Rankers,Illari,10
Kairen,MieMieYang,D.Va,10
Punk,The Gatos Guapos,D.Va,10
wntr,The Gatos Guapos,Lúcio,10
Scorch,FURY,D.Va,10
Yoko,Quasar Esports,Symmetra,10
Exrai,FURY,Kiriko,10
Zesin,Cheeseburger,Genji,10
Wangming,DEG,Genji,10
SINCE,DEG,Lúcio,10
Saya,DEG,Ana,10
PGE,Disguised,Widowmaker,9
Scyle,Disguised,Juno,9
Hanbin,Team Falcons,Domina,9
ChiYo,Team Falcons,Juno,9
Kronik,Dallas Fuel,Emre,9
Seonjun,Dallas Fuel,Vendetta,9
skewed,T1,Ana,9
JunBin,Crazy Raccoon,Zarya,9
FunnyAstro,Twisted Minds,Juno,9
Ky0n,Please Not Hero Ban,Tracer,9
Soae,Please Not Hero Ban,Vendetta,9
pav2l,Telomere,Cassidy,9
Heesung,ENTER FORCE.36,Hazard,9
Supreme,99DIVINE,Wuyang,9
ans,TOKYO TAIYOs,Bastion,9
DOX,Lazuli,Orisa,9
Supreme,99DIVINE,Brigitte,9
Heesung,ENTER FORCE.36,Orisa,9
STALK3R,Crazy Raccoon,Vendetta,9
BERNAR,ZETA DIVISION,D.Va,9
D0D0,New Era,Vendetta,9
SoLA,New Era,D.Va,9
MCD,New Era,Ana,9
Secret,New Era,Kiriko,9
shu,ZETA DIVISION,Juno,9
Faith,Cheeseburger,Brigitte,9
HEISER,ZAN Esports,Hazard,9
MAX,Crazy Raccoon,Winston,9
iRONY,RØDE ONSIDE GAMING,Ana,9
Secret,New Era,Brigitte,9
STALK3R,Crazy Raccoon,Genji,9
Faith,Cheeseburger,Jetpack Cat,9
fari,Homie E,Sojourn,9
9TRIBEZ,Homie E,Zarya,9
Ezhan,All Gamers,Cassidy,9
MewTwo,JD Gaming,Brigitte,9
MewTwo,JD Gaming,Jetpack Cat,9
