scope_type,scope_name,role,hero_name,map_sets_played,map_set_wins,map_set_losses,win_rate,non_mirror_map_sets_played,non_mirror_wins,non_mirror_losses,non_mirror_win_rate
team,DEG,DPS,Tracer,11,1,10,0.0909,1,0,1,0.0
team,DEG,DPS,Symmetra,8,1,7,0.125,2,0,2,0.0
team,DEG,DPS,Vendetta,8,1,7,0.125,1,0,1,0.0
team,DEG,DPS,Genji,5,1,4,0.2,0,0,0,0.0
team,DEG,DPS,Sojourn,4,0,4,0.0,1,0,1,0.0
team,DEG,DPS,Cassidy,4,0,4,0.0,4,0,4,0.0
team,DEG,DPS,Emre,3,1,2,0.3333,1,0,1,0.0
team,DEG,DPS,Venture,2,0,2,0.0,2,0,2,0.0
team,DEG,DPS,Anran,2,0,2,0.0,2,0,2,0.0
team,DEG,DPS,Widowmaker,1,0,1,0.0,1,0,1,0.0
team,DEG,Support,Brigitte,10,1,9,0.1,7,0,7,0.0
team,DEG,Support,Kiriko,7,0,7,0.0,3,0,3,0.0
team,DEG,Support,Ana,7,1,6,0.1429,2,0,2,0.0
team,DEG,Support,Lúcio,5,1,4,0.2,0,0,0,0.0
team,DEG,Support,Wuyang,3,0,3,0.0,3,0,3,0.0
team,DEG,Support,Baptiste,2,0,2,0.0,2,0,2,0.0
team,DEG,Support,Juno,2,1,1,0.5,0,0,0,0.0
team,DEG,Tank,Doomfist,7,0,7,0.0,7,0,7,0.0
team,DEG,Tank,Winston,6,1,5,0.1667,1,0,1,0.0
team,DEG,Tank,Hazard,3,1,2,0.3333,3,1,2,0.3333
team,DEG,Tank,Zarya,1,0,1,0.0,0,0,0,0.0
team,Dallas Fuel,DPS,Tracer,24,16,8,0.6667,2,1,1,0.5
team,Dallas Fuel,DPS,Sojourn,23,16,7,0.6957,12,11,1,0.9167
team,Dallas Fuel,DPS,Symmetra,13,10,3,0.7692,1,1,0,1.0
team,Dallas Fuel,DPS,Widowmaker,10,8,2,0.8,2,2,0,1.0
team,Dallas Fuel,DPS,Cassidy,10,8,2,0.8,7,6,1,0.8571
team,Dallas Fuel,DPS,Vendetta,9,5,4,0.5556,5,3,2,0.6
team,Dallas Fuel,DPS,Emre,8,6,2,0.75,1,1,0,1.0
team,Dallas Fuel,DPS,Genji,7,3,4,0.4286,1,1,0,1.0
team,Dallas Fuel,DPS,Pharah,7,4,3,0.5714,6,4,2,0.6667
team,Dallas Fuel,DPS,Echo,5,2,3,0.4,4,2,2,0.5
team,Dallas Fuel,DPS,Ashe,3,2,1,0.6667,3,2,1,0.6667
team,Dallas Fuel,DPS,Anran,2,1,1,0.5,1,1,0,1.0
team,Dallas Fuel,DPS,Hanzo,2,2,0,1.0,2,2,0,1.0
team,Dallas Fuel,DPS,Bastion,1,0,1,0.0,1,0,1,0.0
team,Dallas Fuel,DPS,Torbjörn,1,1,0,1.0,1,1,0,1.0
team,Dallas Fuel,DPS,Sombra,1,1,0,1.0,1,1,0,1.0
team,Dallas Fuel,DPS,Junkrat,1,1,0,1.0,1,1,0,1.0
team,Dallas Fuel,DPS,Freja,1,1,0,1.0,1,1,0,1.0
team,Dallas Fuel,DPS,Mei,1,0,1,0.0,1,0,1,0.0
team,Dallas Fuel,Support,Kiriko,23,16,7,0.6957,2,1,1,0.5
team,Dallas Fuel,Support,Ana,20,13,7,0.65,12,9,3,0.75
team,Dallas Fuel,Support,Lúcio,16,8,8,0.5,1,1,0,1.0
team,Dallas Fuel,Support,Illari,13,9,4,0.6923,11,7,4,0.6364
team,Dallas Fuel,Support,Juno,12,9,3,0.75,5,3,2,0.6
team,Dallas Fuel,Support,Jetpack Cat,11,7,4,0.6364,7,4,3,0.5714
team,Dallas Fuel,Support,Brigitte,11,9,2,0.8182,6,5,1,0.8333
team,Dallas Fuel,Support,Wuyang,9,7,2,0.7778,8,7,1,0.875
team,Dallas Fuel,Support,Mercy,5,5,0,1.0,5,5,0,1.0
team,Dallas Fuel,Support,Mizuki,3,1,2,0.3333,1,0,1,0.0
team,Dallas Fuel,Support,Baptiste,3,2,1,0.6667,1,1,0,1.0
team,Dallas Fuel,Support,Moira,1,1,0,1.0,0,0,0,0.0
team,Dallas Fuel,Tank,Winston,17,10,7,0.5882,13,9,4,0.6923
team,Dallas Fuel,Tank,Wrecking Ball,13,10,3,0.7692,13,10,3,0.7692
team,Dallas Fuel,Tank,D.Va,6,4,2,0.6667,1,0,1,0.0
team,Dallas Fuel,Tank,Ramattra,6,4,2,0.6667,5,4,1,0.8
team,Dallas Fuel,Tank,Sigma,5,5,0,1.0,4,4,0,1.0
team,Dallas Fuel,Tank,Domina,3,0,3,0.0,0,0,0,0.0
team,Dallas Fuel,Tank,Zarya,3,2,1,0.6667,2,1,1,0.5
team,Dallas Fuel,Tank,Reinhardt,2,1,1,0.5,2,1,1,0.5
team,Disguised,DPS,Emre,20,9,11,0.45,8,2,6,0.25
team,Disguised,DPS,Tracer,16,5,11,0.3125,5,1,4,0.2
team,Disguised,DPS,Vendetta,13,5,8,0.3846,7,3,4,0.4286
team,Disguised,DPS,Cassidy,10,3,7,0.3,9,2,7,0.2222
team,Disguised,DPS,Symmetra,10,3,7,0.3,2,1,1,0.5
team,Disguised,DPS,Sojourn,9,5,4,0.5556,4,3,1,0.75
team,Disguised,DPS,Widowmaker,7,3,4,0.4286,4,2,2,0.5
team,Disguised,DPS,Venture,4,3,1,0.75,3,2,1,0.6667
team,Disguised,DPS,Hanzo,2,1,1,0.5,2,1,1,0.5
team,Disguised,DPS,Ashe,1,0,1,0.0,0,0,0,0.0
team,Disguised,DPS,Anran,1,1,0,1.0,0,0,0,0.0
team,Disguised,DPS,Soldier: 76,1,0,1,0.0,1,0,1,0.0
team,Disguised,DPS,Bastion,1,1,0,1.0,1,1,0,1.0
team,Disguised,DPS,Genji,1,0,1,0.0,1,0,1,0.0
team,Disguised,Support,Kiriko,16,6,10,0.375,1,0,1,0.0
team,Disguised,Support,Lúcio,16,8,8,0.5,1,0,1,0.0
team,Disguised,Support,Juno,11,2,9,0.1818,4,1,3,0.25
